id_distrito,nombre,id_comuna,provincia,region
1,Distrito 1,1, Arica, Arica y Parinacota
1,Distrito 1,2, Parinacota, Arica y Parinacota
1,Distrito 1,3, Iquique, Tarapacá
2,Distrito 2,4, El Tamarugal, Tarapacá
3,Distrito 3,5, Iquique, Tarapacá
3,Distrito 3,6, Iquique, Tarapacá
4,Distrito 4,7, Tocopilla, Tarapacá
5,Distrito 5,8, Tocopilla, Tarapacá
5,Distrito 5,9, Tocopilla, Tarapacá
5,Distrito 5,10, Tocopilla, Tarapacá
5,Distrito 5,11, Tocopilla, Tarapacá
6,Distrito 6,12, Antofagasta, Antofagasta
6,Distrito 6,13, Antofagasta, Antofagasta
6,Distrito 6,14, Antofagasta, Antofagasta
6,Distrito 6,15, Antofagasta, Antofagasta
6,Distrito 6,16, El Loa, Antofagasta
7,Distrito 7,17, El Loa, Antofagasta
7,Distrito 7,18, El Loa, Antofagasta
7,Distrito 7,19, Tocopilla, Antofagasta
7,Distrito 7,20, Tocopilla, Antofagasta
8,Distrito 8,21, Chañaral, Atacama
8,Distrito 8,22, Chañaral, Atacama
8,Distrito 8,23, Copiapó, Atacama
8,Distrito 8,24, Copiapó, Atacama
8,Distrito 8,25, Copiapó, Atacama
8,Distrito 8,26, Huasco, Atacama
8,Distrito 8,27, Huasco, Atacama
8,Distrito 8,28, Huasco, Atacama
8,Distrito 8,29, Huasco, Atacama
8,Distrito 8,30, Choapa, Coquimbo
8,Distrito 8,31, Choapa, Coquimbo
9,Distrito 9,32, Choapa, Coquimbo
9,Distrito 9,33, Choapa, Coquimbo
9,Distrito 9,34, Elqui, Coquimbo
9,Distrito 9,35, Elqui, Coquimbo
9,Distrito 9,36, Elqui, Coquimbo
10,Distrito 10,37, Elqui, Coquimbo
11,Distrito 11,38, Elqui, Coquimbo
11,Distrito 11,39, Elqui, Coquimbo
11,Distrito 11,40, Limarí, Coquimbo
11,Distrito 11,41, Limarí, Coquimbo
11,Distrito 11,42, Limarí, Coquimbo
12,Distrito 12,43, Limarí, Coquimbo
13,Distrito 13,44, Limarí, Coquimbo
13,Distrito 13,45, Isla de Pascua, Valparaíso
14,Distrito 14,46, Los Andes, Valparaíso
14,Distrito 14,47, Los Andes, Valparaíso
14,Distrito 14,48, Los Andes, Valparaíso
14,Distrito 14,49, Los Andes, Valparaíso
14,Distrito 14,50, Petorca, Valparaíso
15,Distrito 15,51, Petorca, Valparaíso
15,Distrito 15,52, Petorca, Valparaíso
